DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,29,44732499,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,30,44732953,43
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,31,44732954,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,32,44732955,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,33,44733118,43
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,37,44733143,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,38,44733144,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,39,44733145,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,40,44734484,43
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,41,44734485,108
02,LIVE OAK,JACKSON RANCH (YEGUA 5400),"APEX ENERGY, INC.",027424,MCNEILL B,O,09011,2,29734581,193
02,LIVE OAK,JACKSON RANCH (YEGUA 5250),"APEX ENERGY, INC.",027424,"MC NEILL, E",O,09012,2,29734613,25
7B,COLEMAN,WHITLEY (JENNINGS SAND),"CONTINUAL OIL & GAS, INC.",173790,W. J. U.,O,09012,23,08305886,135
7B,COLEMAN,WHITLEY (JENNINGS SAND),"CONTINUAL OIL & GAS, INC.",173790,W. J. U.,O,09012,28,08381131,105
7B,COLEMAN,WHITLEY (JENNINGS SAND),"CONTINUAL OIL & GAS, INC.",173790,W. J. U.,O,09012,32,08381132,105
02,VICTORIA,WILDCAT,"GEC OPERATING, INC.",291931,FRANKE 25,O,09026,1,46933383,185
7B,BROWN,BROWN CO. REGULAR (MARBLE FALLS),"SANTA ANNA PARTNERS, LP",748111,"STONE, ULA B.",G,090274,1,04932452,279
02,VICTORIA,KENTUCKY MOTT (5880 SAND),"GBS OIL & GAS, LLC",298357,KEERAN RANCH,O,09038,C  4,46933999,44
05,NAVARRO,"CHENEYBORO, SW. (9585)","ALARON ENERGY, INC.",010450,ELECTRA BROWN GAS UNIT,G,090399,1,34931371,109
08,CRANE,C-BAR (SAN ANDRES),"ROYALTY RESOURCES, L.L.C.",732124,"CONNELL, W. E., -A-",O,09040,2,10303248,45
03,BRAZORIA,"ALVIN, SOUTH (#46)","PRYTANIA OIL AND GAS, LLC",682057,LOCKHART BANK UNIT 2,G,090401,3,03930121,43
08,CRANE,LEA (SAN ANDRES),SIANA OIL & GAS,779259,"LEA, P. J. -A-",O,09048,3,10304723,61
08,CRANE,LEA (SAN ANDRES),SIANA OIL & GAS,779259,"LEA, P. J. -A-",O,09048,5,10303847,279
08,CRANE,LEA (SAN ANDRES),SIANA OIL & GAS,779259,"LEA, P. J. -A-",O,09048,8A,10333664,61
02,VICTORIA,ANAQUA,MIDWAY DRILLING CO.,566352,O'CONNOR,O,09053,2,46934031,60
7B,BROWN,JANELLEN (CADDO),"BROWN INDUSTRIAL GAS OP, INC.",100298,FLETCHER,G,090563,1,04932098,110
